outgoing_amount,outgoing_token,Description
8000,DAI,0xE06687C4Ec39cD040A44DB4DF9B47C3835Eb626F
300,DAI,0xE06687C4Ec39cD040A44DB4DF9B47C3835Eb626F
13333.33,DAI,0xD19F0C13586Bd8338A20A9F3Eee17aa20ec93FfB
3372.17696,DAI,0xa1b05458EFC703Ce8784Fe3d1F693f1c6431849d
7100,DAI,0x678f6DEc00e0918300882a544a80034c25BB800A
6875,DAI,0x9cc2Fcbb79FF0655241b07eDd3B810F8b9860871
384.2594168,DAI,0x9cc2Fcbb79FF0655241b07eDd3B810F8b9860871
5471.35,DAI,0x1D51734b52d31c95bBC9C031fDC9a76FeB10553a
2807.370122,DAI,0x30Eac0f8e9246d21b2ebC7Ba0f666D29794B5d48
11009.2946,DAI,0xECE70bB237673D5268a35f6783745B8EAacbF1CF
266.2247603,DAI,0xECE70bB237673D5268a35f6783745B8EAacbF1CF
564.4765593,DAI,0x30Eac0f8e9246d21b2ebC7Ba0f666D29794B5d48
175.1478686,DAI,0x30Eac0f8e9246d21b2ebC7Ba0f666D29794B5d48
